Length,Non-standard basepairs,F1 score
1383.0,23.0,0.9417852759361268
1384.0,23.0,0.9342693090438844
1384.0,22.0,0.9434953927993774
1384.0,21.0,0.9448819160461426
1385.0,26.0,0.9121395349502563
1385.0,21.0,0.9372496604919434
1386.0,23.0,0.9320635199546814
1386.0,25.0,0.9292929172515868
1387.0,23.0,0.9417852759361268
1387.0,20.0,0.937875747680664
1388.0,21.0,0.9298800230026244
1388.0,26.0,0.9250157475471495
1388.0,22.0,0.9401158690452576
1389.0,27.0,0.930407464504242
1389.0,27.0,0.930407464504242
1389.0,26.0,0.9242618680000304
1389.0,21.0,0.9355847835540771
1390.0,21.0,0.8682593703269958
1390.0,24.0,0.9340369701385498
1390.0,23.0,0.9337620735168456
1390.0,20.0,0.9334213137626648
1391.0,20.0,0.946959912776947
1391.0,23.0,0.9342516660690308
1392.0,24.0,0.9331619143486024
1392.0,24.0,0.9345314502716064
1392.0,24.0,0.9345314502716064
1392.0,24.0,0.9345314502716064
1392.0,24.0,0.9345314502716064
1393.0,20.0,0.9365598559379578
1393.0,23.0,0.9374201893806458
1394.0,26.0,0.9358974695205688
1394.0,24.0,0.9342692494392396
1395.0,21.0,0.93782377243042
1395.0,20.0,0.9466238021850586
1396.0,23.0,0.9346991181373596
1396.0,20.0,0.9405815601348876
1396.0,24.0,0.9357326626777648
1396.0,18.0,0.9393346309661864
1396.0,30.0,0.9112271666526794
1396.0,31.0,0.9080079793930054
1396.0,27.0,0.9209003448486328
1397.0,19.0,0.9397749900817872
1398.0,25.0,0.9346031546592712
1398.0,24.0,0.9330783486366272
1399.0,25.0,0.9369828701019288
1399.0,16.0,0.941176414489746
1399.0,21.0,0.940397322177887
1400.0,25.0,0.9351969361305236
1400.0,21.0,0.9448819160461426
1400.0,24.0,0.9360613822937012
1400.0,23.0,0.923076868057251
1400.0,22.0,0.935097634792328
1401.0,20.0,0.9238776564598083
1401.0,22.0,0.9392610788345336
1401.0,25.0,0.9269841313362122
1401.0,22.0,0.9392610788345336
1401.0,22.0,0.9392610788345336
1402.0,25.0,0.9350318312644958
1402.0,23.0,0.9315756559371948
1402.0,25.0,0.9350318312644958
1402.0,20.0,0.9475780129432678
1402.0,25.0,0.9405477046966552
1402.0,25.0,0.9350318312644958
1403.0,24.0,0.9355246424674988
1403.0,24.0,0.9332485795021056
1403.0,20.0,0.948344349861145
1404.0,31.0,0.9277184009552002
1404.0,24.0,0.9430463910102844
1405.0,24.0,0.9372280836105348
1405.0,24.0,0.9373837113380432
1405.0,20.0,0.9477167129516602
1405.0,19.0,0.9360580444335938
1405.0,23.0,0.9302931427955629
1406.0,26.0,0.932235598564148
1406.0,24.0,0.9334179162979126
1406.0,20.0,0.9374588131904602
1406.0,24.0,0.9351621270179749
1407.0,21.0,0.9465072751045228
1407.0,25.0,0.934742033481598
1407.0,21.0,0.93325012922287
1407.0,22.0,0.936170220375061
1408.0,24.0,0.930417537689209
1408.0,24.0,0.934903919696808
1408.0,25.0,0.9375386238098145
1409.0,25.0,0.93325012922287
1409.0,21.0,0.9513108730316162
1409.0,25.0,0.93325012922287
1409.0,21.0,0.9388265013694764
1409.0,28.0,0.9334162473678588
1409.0,24.0,0.9345794320106506
1409.0,22.0,0.9388265013694764
1409.0,21.0,0.9388265013694764
1409.0,22.0,0.9450830221176147
1409.0,24.0,0.9345794320106506
1410.0,21.0,0.9355048537254332
1410.0,24.0,0.9378461837768556
1410.0,24.0,0.9378461837768556
1410.0,24.0,0.9365373253822328
1410.0,24.0,0.9378461837768556
1411.0,24.0,0.9362229704856871
1411.0,23.0,0.9362229704856871
1411.0,28.0,0.9204912781715392
1411.0,27.0,0.9281627535820008
1411.0,19.0,0.936005175113678
1412.0,29.0,0.915000021457672
1412.0,22.0,0.9395807981491088
1412.0,22.0,0.9395807981491088
1412.0,24.0,0.9363805055618286
1412.0,26.0,0.9345794320106506
1412.0,25.0,0.9171483516693116
1412.0,24.0,0.9363805055618286
1413.0,21.0,0.9374201893806458
1413.0,26.0,0.9334178566932678
1413.0,25.0,0.9370716214179992
1413.0,27.0,0.9315756559371948
1413.0,20.0,0.9254108667373656
1414.0,21.0,0.9481865167617798
1414.0,24.0,0.9397141337394714
1414.0,27.0,0.93325012922287
1415.0,25.0,0.9341614842414856
1415.0,27.0,0.9314391613006592
1415.0,26.0,0.9325625896453856
1415.0,29.0,0.9263687133789062
1415.0,19.0,0.9385908246040344
1416.0,29.0,0.921885073184967
1416.0,22.0,0.9456384181976318
1416.0,19.0,0.9420751333236694
1417.0,25.0,0.8987590074539185
1417.0,20.0,0.9377007484436036
1417.0,25.0,0.9165628552436828
1417.0,23.0,0.9330878257751464
1418.0,19.0,0.9392194747924804
1418.0,27.0,0.938431680202484
1419.0,26.0,0.9258543252944946
1419.0,19.0,0.9445843696594238
1419.0,25.0,0.9326805472373962
1419.0,16.0,0.9438485503196716
1419.0,26.0,0.8928327560424805
1419.0,17.0,0.9426433444023132
1420.0,25.0,0.9303514361381532
1420.0,22.0,0.9339319467544556
1420.0,23.0,0.934101104736328
