,Non-standard,Watson-Crick,Paired with N,Wobble
569,26,359,0,64
570,25,370,0,56
571,29,359,0,58
572,27,357,0,61
573,26,360,0,62
574,28,357,0,61
575,25,355,0,57
576,26,363,0,59
577,26,358,0,63
578,23,359,0,62
579,26,358,0,64
580,26,363,0,56
581,25,363,0,62
582,26,364,0,59
583,26,356,0,56
584,27,348,0,56
585,26,358,0,65
586,25,357,0,58
587,27,348,3,60
588,25,356,0,63
589,25,363,0,58
590,25,362,0,62
591,23,361,0,60
592,26,350,0,64
593,25,354,0,60
594,25,365,0,58
595,25,368,0,56
596,23,367,0,59
597,25,367,0,55
598,25,366,0,55
599,26,360,0,63
600,25,363,0,58
601,26,362,0,63
602,24,364,0,53
603,25,360,0,60
604,25,356,0,62
605,29,358,0,56
606,25,354,0,56
607,25,356,0,60
608,28,342,1,61
609,25,350,0,60
610,26,361,0,59
611,24,367,0,57
612,24,348,0,61
613,27,343,0,70
614,26,368,0,56
615,26,361,0,61
616,26,365,0,56
617,27,366,1,56
618,27,355,3,60
619,23,355,0,64
620,25,352,1,57
621,26,345,0,60
622,26,368,1,55
623,26,367,0,57
624,25,356,2,67
625,26,360,0,62
626,25,356,1,60
627,26,360,0,62
628,27,355,0,61
629,24,354,0,63
630,26,365,0,58
631,24,361,0,63
632,25,369,0,57
633,26,368,0,55
634,26,354,0,60
635,25,360,0,58
636,26,350,0,63
637,25,362,0,66
638,26,360,0,64
639,24,337,0,55
640,22,338,3,63
641,25,360,0,56
642,27,356,1,56
643,24,369,0,55
644,23,362,0,62
645,29,369,0,54
646,23,366,1,55
647,26,362,0,62
648,29,365,0,56
649,28,357,2,65
650,26,361,0,59
651,27,354,0,55
652,25,349,0,57
653,26,358,0,57
654,26,348,1,56
655,26,354,0,62
656,25,361,0,58
657,26,367,0,56
658,25,354,0,57
659,25,362,0,59
660,24,365,0,57
661,25,370,0,56
662,25,352,0,56
663,26,351,0,60
664,26,343,0,61
665,26,356,0,60
666,25,359,0,60
667,26,354,0,56
668,25,365,0,59
669,24,355,1,57
670,26,359,0,55
671,25,345,0,56
672,24,352,0,57
673,25,369,0,57
674,24,369,0,55
675,25,365,0,59
676,25,368,0,58
677,25,349,0,64
678,26,366,0,58
679,26,357,0,61
680,26,363,0,59
681,26,364,0,60
682,26,359,4,59
683,23,361,0,65
684,25,364,0,62
685,27,367,0,56
686,26,365,0,59
687,25,363,0,56
688,23,361,0,59
689,25,370,1,55
690,25,348,3,58
691,26,362,0,62
692,25,369,0,56
693,26,361,0,61
694,25,361,0,56
695,25,364,0,61
696,22,350,0,58
697,25,365,0,58
698,26,356,0,58
699,25,363,0,62
700,26,368,0,56
701,25,366,3,57
702,25,368,0,58
703,25,369,1,56
704,25,359,0,60
705,24,365,0,58
706,24,366,0,58
707,22,348,2,61
708,24,343,1,56
709,24,337,0,60
710,22,340,0,62
711,24,345,0,55
712,26,363,0,56
713,27,349,0,55
714,25,340,0,63
715,23,346,7,61
716,26,360,0,60
717,26,365,0,58
718,27,367,0,56
719,25,359,0,56
720,25,349,0,61
721,27,361,0,56
722,27,355,2,56
723,23,343,0,61
724,25,343,1,57
725,26,368,0,56
726,24,366,0,59
727,24,366,0,59
728,25,363,6,56
729,26,367,0,55
730,27,361,0,60
731,23,364,0,58
732,25,355,0,60
733,24,349,0,60
734,25,365,0,60
735,25,353,3,59
736,27,357,0,60
737,25,360,3,60
738,26,352,0,61
739,23,355,0,60
740,23,352,0,60
741,24,353,0,63
742,25,366,0,59
743,26,364,0,59
744,26,357,0,62
745,24,338,4,53
746,24,350,0,55
747,23,361,0,59
748,25,368,0,57
749,26,361,1,63
750,25,365,0,60
751,26,360,1,63
752,26,351,1,63
753,25,360,1,64
754,26,351,0,54
755,23,359,0,64
756,25,347,0,60
757,26,363,0,59
758,26,364,0,60
759,24,359,0,64
760,26,357,0,56
761,25,360,0,62
762,25,360,0,59
763,25,355,0,60
764,26,366,0,59
765,27,357,0,56
766,25,355,0,60
767,25,362,0,56
768,26,354,0,63
769,25,368,0,61
770,26,361,0,56
771,26,349,0,61
772,26,352,0,53
773,25,345,0,60
774,25,359,0,57
775,26,339,0,60
776,23,350,0,64
777,26,348,0,60
778,26,364,0,57
779,27,345,0,61
780,25,346,0,56
781,24,349,0,64
782,26,364,0,59
783,26,363,0,61
784,25,366,0,58
785,22,332,0,63
786,26,336,0,61
787,24,366,0,57
788,25,341,1,55
789,26,349,0,65
790,26,340,0,60
791,23,341,0,64
792,25,366,0,58
793,25,370,0,55
794,26,341,0,59
795,26,364,0,58
796,24,347,0,58
797,28,358,1,60
798,26,363,0,60
799,29,360,0,59
800,25,361,0,63
801,26,360,0,64
802,24,365,0,59
803,27,359,0,62
804,27,360,0,61
805,25,357,0,62
806,25,364,0,61
807,25,359,0,64
808,27,364,0,57
809,26,364,0,60
810,25,362,0,63
811,25,367,0,58
812,23,358,0,65
813,26,357,0,63
814,27,353,1,64
815,29,361,0,62
816,27,364,0,59
817,26,367,0,57
818,25,364,0,61
819,26,363,0,61
820,26,369,0,56
821,25,359,0,62
822,24,369,0,56
823,26,368,0,56
824,25,365,0,60
825,27,365,0,59
826,25,368,0,57
827,25,366,0,57
828,26,366,0,56
829,26,363,0,61
830,25,363,0,62
831,26,364,0,60
832,25,350,0,62
833,25,357,0,68
834,25,370,0,56
835,23,357,2,57
836,25,369,0,57
837,27,365,0,58
838,26,365,0,57
839,25,358,0,63
840,26,359,0,56
841,26,358,0,56
842,26,360,0,56
843,26,368,0,56
844,26,365,0,59
845,26,360,0,56
846,26,364,0,56
847,26,357,0,63
848,25,361,0,62
849,25,364,0,59
850,25,352,0,63
851,24,349,0,65
852,24,355,0,56
853,25,360,0,59
854,25,368,0,56
855,26,361,0,61
856,26,357,0,64
857,23,347,0,57
858,25,359,0,57
859,26,357,0,64
860,26,368,0,56
861,25,364,0,57
862,26,353,0,59
863,25,364,0,61
864,25,364,0,59
865,22,334,0,57
866,25,362,0,63
867,23,358,0,65
868,23,363,0,60
869,23,362,0,59
870,26,364,0,58
871,26,365,0,58
872,26,364,0,60
873,27,361,0,62
874,27,361,0,62
875,26,361,0,60
876,27,362,0,58
877,26,353,0,63
878,26,362,0,62
879,26,358,0,63
880,23,365,0,58
881,26,362,0,63
882,25,366,0,59
883,26,366,0,58
884,26,362,0,62
885,28,359,0,61
886,26,365,0,56
887,24,363,1,60
888,26,359,0,63
889,26,362,0,60
890,26,361,0,54
891,25,359,0,62
892,26,360,0,63
893,25,358,0,61
894,22,356,0,70
895,26,361,0,63
896,26,361,0,63
897,26,361,0,63
898,26,363,0,60
899,26,361,1,63
900,26,362,0,62
901,26,355,0,59
902,24,368,0,56
903,26,360,0,64
904,26,362,0,62
905,26,368,0,56
906,24,360,0,64
907,24,360,0,64
908,29,357,4,59
909,23,363,1,62
910,25,364,0,59
911,25,366,0,60
912,25,369,0,57
913,25,363,3,59
914,26,363,0,54
915,25,353,0,62
916,27,358,0,61
917,26,361,0,63
918,26,368,0,56
919,23,362,1,62
920,25,366,0,60
921,28,359,0,61
922,25,366,1,58
923,25,366,0,59
924,24,368,0,56
925,25,366,0,58
926,24,360,0,64
